date,forecasted_tickets,upper_confidence,lower_confidence
2023-03-19,8159.9099930144885,824.599754697705,14716.869079823913
2023-03-20,8461.076287861148,1673.06400607501,15172.647172751938
2023-03-21,8103.635414995699,1833.9222286961613,14683.092264670187
2023-03-22,7898.767022472584,1076.4516704608534,14660.925875899133
2023-03-23,8246.063617969927,1678.1548308195875,15014.069205200685
2023-03-24,7698.758407472332,658.4124181138274,14206.457766618294
2023-03-25,5237.218907183622,-1582.7935397007568,11884.488476381202
2023-03-26,8149.427703461682,1695.590631677778,14758.178093654653
2023-03-27,8450.593998303297,1595.9865937620953,15681.938957659311
2023-03-28,8093.153125438162,1481.1179978973646,14473.372683908396
2023-03-29,7888.284732914016,1334.088076189315,14630.44486679783
2023-03-30,8235.581328409879,1496.38428297392,14558.019579918237
2023-03-31,7688.276117917927,1165.5908577854657,14448.37794122599
2023-04-01,5226.736617627968,-1596.9851912263762,11785.872038653633
2023-04-02,8138.945413897745,1518.3521620199213,14925.656573232187
2023-04-03,8440.111708748209,1638.1328847238524,14976.344312303232
2023-04-04,8082.670835884957,721.955003111428,14511.193255850925
2023-04-05,7877.802443359993,1095.0158465061775,15136.081889173438
2023-04-06,8225.099038857024,1618.1230059866434,15242.679576090894
2023-04-07,5578.985400367632,-1150.3544870157582,12232.564290923174
2023-04-08,5216.254328072317,-1249.1752428553086,12066.498888839615
2023-04-09,8128.463124343395,1236.0765826958636,15263.582974296796
2023-04-10,2211.1025811898626,-5003.899166599977,8823.758588501161
2023-04-11,8072.18854632309,1276.0538297748342,14865.105256319915
2023-04-12,7867.32015380597,981.8177362736209,14815.521365363786
2023-04-13,8214.616749296454,1273.0841213613937,14809.775545238052
2023-04-14,7667.311538810821,1184.0480596466207,14574.21068896467
2023-04-15,5205.772038517142,-1406.1615779843464,12170.336608991778
