date,forecasted_tickets,upper_confidence,lower_confidence
2022-12-10,5394.453250519728,-801.3797668703453,12677.531467570836
2022-12-11,8306.662046791474,2131.344313756634,15292.066533894189
2022-12-12,8607.828341637896,1443.1554385397694,15405.720594247274
2022-12-13,8250.38746877481,1381.0565065912322,14722.398691728964
2022-12-14,8045.519076253803,1486.4579076378186,15312.319201098664
2022-12-15,8392.815671743565,1082.3425156537473,14913.950198375314
2022-12-16,7845.510461259474,1650.8699755136834,14642.161286582552
2022-12-17,5383.970960964552,-1325.4345644059586,11796.308728759626
2022-12-18,8296.17975723558,1720.8959187964285,15214.54174102122
2022-12-19,8597.34605208607,1264.585626427891,15679.775622378651
2022-12-20,8239.905179221743,1844.2266644850522,14852.454964005658
2022-12-21,8035.036786699779,1622.6243119587773,15059.22574174303
2022-12-22,8382.33338219071,1567.9168798249907,15203.956325427693
2022-12-23,7835.028171700256,1296.061199587788,14855.6429963276
2022-12-24,5373.488671408899,-1486.54224893707,12354.147798519856
2022-12-25,10997.183515682773,4014.7518955963615,17350.66691029554
2022-12-26,12736.018080527723,5901.339674993688,19210.554402045076
2022-12-27,8229.422889664207,1999.5771499455338,15442.826488466111
2022-12-28,8024.55449714121,869.0472210428815,14814.767233306884
2022-12-29,8371.851092633999,1449.6489287427019,15263.312689610833
2022-12-30,7824.5458821458515,1100.2514393524957,14530.4754620766
2022-12-31,5363.006381852173,-1746.6564799128157,11626.881485175052
2023-01-01,14632.102864117294,7696.592357393504,21112.097428143083
2023-01-02,8576.381472969375,1926.0204335511996,15262.37383409735
2023-01-03,8218.940600111,1359.2401616187324,15170.239254482865
2023-01-04,8014.072207587186,1016.8780144946865,14505.81230555409
2023-01-05,8361.368803081667,1422.4478099552882,14634.25386796565
2023-01-06,7814.063592586632,629.7383560644021,14256.552034340184
2023-01-07,5352.5240922965195,-1602.5789272458312,12214.275302819866
2023-01-08,8264.732888564487,1471.3438232804226,15101.843271004851
2023-01-09,8565.899183414287,1467.6944690153825,15464.237826826904
2023-01-10,8208.458310549133,1402.8886361540522,14733.170997950852
2023-01-11,8003.5899180339575,1099.2666595221642,14897.82917132373
2023-01-12,8350.886513521096,1570.0419344558268,14665.250597497685
2023-01-13,7803.581303027414,484.70107526334743,14327.764497961021
2023-01-14,5342.041802741345,-1218.6416592529854,12170.536133642436
2023-01-15,8254.250599010138,1403.9065522114483,14995.073585796625
2023-01-16,8555.416893856436,1461.9301345268702,14818.053353041145
2023-01-17,8197.976020995928,1379.8007892432217,14719.01798220075
2023-01-18,7993.107628479934,1453.1448166643054,14650.138386071005
2023-01-19,8340.404223968242,1739.7754142347978,15335.126924367489
2023-01-20,7793.099013470602,614.6949771856952,14084.563363385063
2023-01-21,5331.559513185212,-938.1084218637236,11863.772025051463
2023-01-22,8243.768309455787,1146.468318875353,14405.135087808423
2023-01-23,8544.93460430461,1610.3600180667902,15319.917820079652
2023-01-24,8187.493731442724,2008.0265049966988,15257.579818655857
2023-01-25,7982.625338921364,1113.2108735341535,15126.73325036788
2023-01-26,8329.92193441153,1486.2739053084272,15225.544375680303
2023-01-27,7782.616723920308,1089.3224110518654,14793.66344190463
2023-01-28,5321.077223628965,-1241.2780070350182,12201.060393865992
2023-01-29,8233.286019901438,1076.8543901940366,15391.635890632373
2023-01-30,8534.452314746262,2435.2492723712403,15290.815567167778
2023-01-31,8177.011441885187,1172.2763066705008,14953.802915896253
2023-02-01,7972.143049363591,1108.6953259845502,14939.767980276196
2023-02-02,8319.439644854818,1204.5958509829254,14993.772233073983
2023-02-03,7772.134434365902,1261.6558668660593,14308.859640050638
2023-02-04,5310.594934072833,-1487.2920485610825,12512.444279512627
2023-02-05,8222.80373034863,1614.723827557637,15062.990752696896
2023-02-06,8523.970025191174,1669.4228194400778,14689.297822933124
2023-02-07,8166.529152336449,1432.9507557835057,15042.655484039711
2023-02-08,7961.660759805022,1203.5234766456697,14751.596854111145
2023-02-09,8308.957355298104,1624.2241031708968,14657.387271002339
2023-02-10,7761.652144806684,1036.8637869739885,14775.747072642716
2023-02-11,5300.112644517658,-1492.4496340628377,12080.212732357497
2023-02-12,8212.321440784695,1379.5645913719745,14945.844456547333
2023-02-13,8513.487735636088,2428.7536558139886,15812.368710385268
2023-02-14,8156.04686277025,1308.5290494629394,15210.710293962815
2023-02-15,7951.178470255543,1342.870897524092,14624.91359083178
2023-02-16,8298.47506574525,1694.25669786557,15438.241277476738
2023-02-17,7751.169855249872,962.7539552307537,14235.373663773591
2023-02-18,5289.6303549624845,-1403.420122210645,11956.238722373624
2023-02-19,8201.839151231889,1499.7369978007846,15058.067592181054
2023-02-20,8503.005446081,2051.4433606002017,15595.19138960634
2023-02-21,8145.564573217046,1273.4605244298612,14845.225682420325
2023-02-22,7940.696180696975,916.4206761960131,14719.476121426087
2023-02-23,8287.99277618906,590.9096147587425,15190.937196632776
2023-02-24,7740.687565701985,812.004197049414,14661.354757576042
2023-02-25,5279.148065406351,-1573.6748882188008,11982.454244412855
2023-02-26,8191.356861675995,1657.0722548191213,14613.172595316957
2023-02-27,8492.523156522653,1322.4190710522387,14831.94464394908
2023-02-28,8135.0822836639745,1546.8560314304907,14821.873887764988
2023-03-01,7930.213891138406,1211.2632416366548,14557.096023864615
2023-03-02,8277.510486636205,1228.1135473602856,15297.511128776136
2023-03-03,7730.205276145172,816.6113603982892,14504.678541811132
2023-03-04,5268.6657758511765,-1793.3462053864466,11881.108090373118
2023-03-05,8180.874572123189,986.6406832182321,15054.415649277704
